latitude,longitude,date
41.81287,-80.95952,2011-07-15
41.76702,-80.98022,2013-03-14
41.85256,-80.96186,2014-02-15
36.91528,-95.80417,2003-10-20
35.70166,-95.70208,1997-09-28
34.495,-96.972,1996-10-31
35.36895,-95.97023,1986-08-25
36.879,-95.1695,1987-10-14
33.89444,-96.75361,1997-07-15
33.82444,-97.07361,2004-12-22
35.74111,-97.479,1997-07-07
35.86972,-96.968,2003-01-31
35.00278,-95.34111,1977-07-15
35.27056,-95.97,2003-02-11
34.73153,-99.81514,1942-04-01
34.21174,-96.63857,2009-10-04
34.92333,-95.26167,2004-05-14
34.72195,-94.96639,1971-10-25
34.75139,-95.04778,1999-11-28
34.61361,-94.84861,2000-01-28
34.44333,-94.65639,2000-07-01
34.84167,-94.63111,2001-03-20
34.53889,-94.93722,2001-04-22
34.52667,-94.70278,2001-10-02
34.59583,-94.55944,2002-06-27
34.52436,-94.91928,2004-04-02
34.689,-94.7325,2004-04-30
34.695,-94.685,2004-11-27
34.78833,-94.70667,2004-12-14
34.64583,-94.575,2005-02-14
34.74338,-94.7297,2007-01-17
34.73966,-94.7264,2008-08-31
34.49108,-94.49968,2009-10-01
34.4082,-94.38045,2012-03-18
35.0271,-94.66875,2012-05-15
34.8146,-94.66875,2012-09-15
34.4415,-94.4325,2020-04-03
34.64856,-94.46039,2022-08-12
35.68583,-97.00389,2005-07-07
35.68081,-97.26022,2003-05-16
36.22935,-95.2419,2015-06-15
35.24194,-97.5625,2004-09-24
34.39639,-95.01167,2000-01-28
34.45195,-94.60042,2001-10-19
34.36778,-94.68028,2009-03-25
34.021,-94.4435,2010-08-14
34.0775,-94.4095,2020-10-26
34.13716,-94.69904,2022-07-16
35.2933,-95.94727,2009-06-19
35.7575,-95.60667,2004-05-03
36.03501,-96.36707,2009-09-08
34.62944,-98.62833,2005-01-10
35.21111,-97.24139,1995-09-01
34.11306,-95.62278,2004-12-21
34.9575,-98.31556,1992-03-01
34.29861,-96.30222,1992-06-17
45.4051,-121.424,1974-08-15
45.44986,-117.7273,1972-07-01
45.3712,-118.5518,1974-08-15
45.5,-118.42,1976-06-15
45.9957,-118.1253,1976-06-30
45.5789,-118.6016,1985-12-15
45.3233,-118.2742,1991-07-15
45.6605,-118.5654,1994-09-15
45.48318,-118.83,1998-10-15
45.84175,-117.991,2001-03-05
45.99215,-118.0811,2001-03-20
45.46571,-118.875,2002-12-17
45.58982,-118.6131,2004-10-05
45.6764,-118.5658,2005-07-15
45.66721,-118.7056,2012-11-07
45.45024,-118.3243,2020-08-12
45.43806,-118.0883,1982-08-24
45.80374,-118.0603,1996-04-30
45.91665,-117.925,2009-02-11
44.8464,-121.1537,1983-06-15
45.8417,-121.7084,2009-10-05
45.24006,-121.6794,2017-07-26
45.33935,-121.3226,2017-09-01
45.63606,-123.3471,1984-07-31
45.4915,-123.2665,1993-09-15
45.46429,-123.0697,1997-06-15
45.48204,-122.9903,2000-10-15
45.76569,-123.3601,2001-10-14
34.25,-96.21,2004-10-12
35.50556,-98.575,1999-10-03
35.10278,-98.34056,2002-04-29
35.33389,-98.13028,2003-06-13
35.08344,-98.24586,2012-04-26
35.50285,-94.77699,1982-10-01
35.325,-95.0585,2000-06-10
35.92806,-94.83,2001-03-26
35.27639,-97.33528,2003-11-29
34.76134,-98.61497,2010-01-25
35.0,-99.0,2010-06-03
36.4168,-94.78227,1979-09-06
36.4075,-94.92667,2000-04-04
45.06881,-123.6956,1982-10-20
45.4861,-122.277,1970-07-15
45.83675,-119.6389,1995-03-31
44.6335,-121.8165,1970-08-15
44.23861,-122.0505,1977-03-19
45.2075,-121.886,1968-08-23
44.825,-118.415,1973-11-15
44.39104,-118.9491,1976-08-25
43.8628,-121.8829,1963-07-15
44.1263,-121.3338,1976-05-15
43.48257,-121.9104,1978-08-15
43.5705,-121.8955,1980-08-15
44.16966,-121.5014,1982-09-15
43.7151,-121.6347,1990-07-15
44.2157,-121.4755,1994-04-15
43.94225,-121.3815,1995-07-05
44.56625,-121.6384,2005-07-09
43.97603,-121.7828,2012-09-01
43.98136,-121.4705,2013-11-15
43.31815,-122.1954,1956-07-15
43.40867,-122.8887,1970-11-15
43.6744,-123.2675,1977-07-01
43.7827,-123.9599,1978-06-25
43.20335,-122.3759,1980-09-01
43.225,-123.175,1980-09-05
44.55505,-123.3604,1980-10-04
43.16815,-123.4911,1989-07-01
43.5251,-123.311,1991-10-15
43.2073,-123.5585,2002-08-20
43.3029,-123.1611,2002-10-15
43.3622,-122.1814,2004-08-28
43.296,-122.5541,2004-09-28
43.61538,-123.5036,2006-11-15
44.7751,-118.7717,1997-07-04
44.5385,-118.5908,2003-08-15
44.9723,-118.3692,2004-09-15
43.85975,-118.8215,2003-07-02
45.3725,-121.5835,1970-10-14
45.5666,-121.7745,1974-10-01
45.5775,-121.6444,1980-07-27
45.54478,-121.5449,1982-07-31
45.49805,-121.8214,1994-07-01
45.25725,-121.5684,1996-09-15
45.274,-121.6796,2001-09-08
45.63923,-121.8735,2002-09-24
45.38736,-121.5134,2008-05-23
42.4356,-122.2328,1979-10-01
42.08845,-122.7465,1995-09-23
42.2356,-123.0137,2003-09-15
42.6,-122.475,2004-07-03
42.12363,-122.339,2011-10-21
44.42565,-121.726,2002-10-24
42.375,-123.3833,1975-07-01
42.02106,-123.2725,1975-10-25
42.1533,-123.5381,1976-09-01
42.16298,-123.6481,1978-07-01
42.56805,-123.3322,1978-10-01
42.09224,-123.4043,2000-07-30
42.39031,-123.449,2002-06-08
42.24165,-123.6416,2002-07-20
42.0833,-123.3333,2005-04-15
42.354,-123.4034,2005-06-15
42.16024,-123.6216,2006-11-15
42.22501,-123.75,2009-02-18
42.125,-123.2916,2009-03-02
42.8673,-122.1629,1983-07-01
42.47,-122.275,1998-08-15
43.08929,-122.0802,2004-09-19
42.23865,-121.9446,2006-01-16
42.36945,-121.3866,2009-12-10
44.15568,-121.9531,1977-05-01
43.9311,-124.1214,1978-12-18
43.69005,-122.3755,1983-08-12
44.09462,-123.3724,1983-08-12
44.19167,-123.975,1984-08-17
43.6947,-122.0449,1992-10-15
43.7667,-123.455,1999-07-15
44.27795,-121.9524,2000-07-15
43.5883,-122.0833,2000-09-10
43.6165,-122.1,2003-11-08
43.6583,-122.8042,2004-07-17
44.05917,-122.9343,2016-01-20
43.85062,-122.7085,2019-07-23
44.6616,-122.8494,2001-07-15
44.4625,-121.9683,2004-08-31
44.40946,-122.1322,2012-08-31
